time_total,Glucose_mean,Glucose_SEM,I_mean,I_SEM,Glycemic_level
0,11.054,0.840394844,183.347,57.22872804,Hyperglycemia
8,9.376,0.712822694,341.342,67.10676734,Hyperglycemia
24,6.666,0.506791391,373.094,71.72769707,Hyperglycemia
47.9,5.504,0.418448817,220.558,41.62117528,Hyperglycemia
288,11.57,0.879621051,60.078,19.68675223,Hyperglycemia
292,10.294,0.782650399,93.976,14.65534211,Hyperglycemia
296,11.462,0.871394122,165.712,11.44753271,Hyperglycemia
312,9.563,0.727072995,251.843,16.25368014,Hyperglycemia
335.9,8.178,0.621779792,212.168,14.01529855,Hyperglycemia
0,,,,,Normoglycemia
8,,,,,Normoglycemia
24,,,,,Normoglycemia
47.9,,,,,Normoglycemia
288,,,,,Normoglycemia
292,9.752,0.74141,37.684,19.6415,Normoglycemia
296,10.21,0.77626,39.677,15.6299,Normoglycemia
312,8.759,0.66595,63.206,19.0116,Normoglycemia
335.9,7.587,0.57683,78.158,24.9965,Normoglycemia
0,,,,,Hypoglycemia
8,,,,,Hypoglycemia
24,,,,,Hypoglycemia
47.9,,,,,Hypoglycemia
288,11.112,0.8448,29.455,15.0442,Hypoglycemia
292,9.546,0.72578,9.851,3.04312,Hypoglycemia
296,9.702,0.73764,13.696,4.0985,Hypoglycemia
312,8.152,0.6198,28.117,4.35175,Hypoglycemia
335.9,7.067,0.53731,30.212,4.55282,Hypoglycemia