time_total,time_GTT,Glucose_mean,Glucose_SEM,Insulin_mean,Insulin_SEM,Glycemic_level
288,0,10.2208,0.025447,14.10833333,0.237250708,Hyperglycemia
294,8,12.133,0.27224,13.96833333,0.311719196,Hyperglycemia
312,24,8.48283,0.26787,8.117222222,0.235277842,Hyperglycemia
336,48,7.667,0.0095263,4.24125,0.359315854,Hyperglycemia
359.9,71.9,6.55417,0.33452,3.661712963,1.566673647,Hyperglycemia
288,0,10.0962,0.11939,15.00534722,0.34859375,Normoglycemia
294,8,9.75517,0.6383,15.41743056,0.600991667,Normoglycemia
312,24,7.63033,0.2988,9.044444444,0.060202292,Normoglycemia
336,48,6.8805,0.1938,5.49875,0.078174306,Normoglycemia
359.9,71.9,5.43033,0.37113,2.249305556,0.082888889,Normoglycemia